Platform,Remerciement,Feedback
Google Avis ,"J'ai été livrée par une bénévole très très sympa, elle s'appelle Daphnée, elle m'a ramené le colis jusqu'à chez moi, bien que j'habite très loin en banlieue de Paris.
Merci à elle.
En plus les articles que j'ai reçu sont bons (bars feed, soupe aux châtaignes, pâtes au blé complet, signal, bain douche, chocolat milka, Thon et chips, légumes en conserves 3*300gr)",
Google Avis ,"Alors, juste pour dire que j'ai vu la vidéo de McFly et Carlito et que j'ai trouvé ça GÉNIAL enfin des gens qui réfléchissent ! C'est incroyable ce que vous faites .",
Google Avis ,Reyan meilleur livreur ! Il est super arrangeant et j'ai pu avoir mon panier alors que j'ai eu un problème sur l'application mais grâce à lui j'ai pu le récupérer. Merci a cette super association,
Google Avis ,"je recommande !! ils sont adorables et j’ai reçu énormément de choses qui m’ont permis de tenir un bon moments, j’ai encore par exemple du shampooing et autres produits d’hygiène. merci à eux!",
Google Avis ,"Merciiii beaucoup, vraiment merci. (Et merci au super livreur Hervé le bienveillant :)) Grâce à vous j’ai pu souffler un peu du stress financier que les étudiants subissent souvent.. Je vous souhaite que du bon !
PS : Je vous offre un super plan de mes chaussettes arc-en-ciel sur la photos des nombreux articles présents dans le panier",
Google Avis ,Je vous souhaite ou plutôt je souhaite à tous les étudiants dans le besoin que vous vous développez partout en France en espérant qu’un jour plus personne n’aura besoin d’une association pour quelque chose d’aussi basique et vital que manger…,
Google Avis ,"Le contenu du sac est phénoménal, et le livreur Émile était super sympa, à l’heure et agréable! Merci pour votre travail, et espère que ça continuera longtemps encore",
Google Avis ,"Le principe de Delivr’aide est, je le répète, plus que révolutionnaire. Un concept fou avec des paniers fous et un livreur très sympathique qui prenait plaisir à aider. Merci encore pour cela et merci d’aider des gens dans le besoin.",
Google Avis ,Mon kit était riche et varié de produits :),
Google Avis ,Merci à Farideh pour la livraison et sa gentillesse,
Google Avis ,Génial !! Un peu d'attente pour traiter les infos mais ensuite on reçoit un gros sachet de course qui dépanne vraiment !,
Google Avis ,Equipe au top ! Super contact avec l'équipe bénévole et les livreurs. Des produits qui apportent un super soutien pour les étudiants. Merci encore !,
Google Avis ,"Superbe initiative, on a besoin de personnes comme vous ! C'est vraiment une super image que vous véhiculez avec un beau message",
Google Avis ,"je viens de la vidéo de mcfly et carlito et malgré le fait que je n’ai pas commandé sur votre site je trouve le concept très bon, et il faudrait plus de personnes comme ça, alors bravo à vous, j’espère aussi que vous recruterez plus de bénévoles, merci à vous!!",
Google Avis ,C'était excellent et je remercie surtout la personne hyper gentille et souriante qui a ramené mon kit.,
Google Avis ,Merci pour les courses et pour la livraison rapide !! J’ai été livrée par Reyan qui est juste trop adorable et super gentil !!,
Google Avis ,"Bonjour, je suis au lycée et j'ai vu la vidéo de mcfly et carlito ce qui m'a donné envie de faire un stage chez vous, j'espère en avoir l'occasion en tout cas et d'ici là, tout ce que j'économise ira surement dans un don pour l'association. Comment ne pas mettre 5 étoiles ?",
Google Avis ,"Incroyable ce que vous faites. Il y a beaucoup de choses dans un seul panier et les produits sont de bonnes qualités, ça fait trop plaisir, merci ",
Google Avis ,"Un sac rempli de produit d’hygiène, de la bonne nourriture et surtout des bénévoles super souriant ça fait vraiment plaisir",
Google Avis ,"Bonjour, je viens de recevoir mon kit et franchement grand merci! Y' a tellement de trucs, je suis choqué, même des soins hygiène et tout. Merci beaucoup pour tout ce que vous faites.
J'espère pouvoir vous accompagner lors de prochaines actions.",
Google Avis ,"Kit complet,la dame qui m'a livré était très gentille.",
Google Avis ,Merci beaucoup je suis très contente,
Google Avis ,"C'est une excellente initiative !! Je suis trop contente d'avoir pu avoir mon panier, merci à Daphnée pour la livraison",
Google Avis ,c’est Daphnée qui m’a livrée elle est hyper sympa et le kit et super merci beaucoup! :),
Google Avis ,"Panier hyper généreux avec vraiment tout ce qu’il faut, les bénévoles sont adorables et aux petits soins. Merci beaucoup.",
Google Avis ,"J’ai été livré par Daphnée une jeune femme sympathique qui aime le relationnel, elle a prit le temps de discuter, franchement au top !",
Google Avis ,"Très bonne expérience, merci beaucoup !! Les produits sont très variés et de qualité. L’accompagnement et les personnes chargées de la distribution sont adorables.",
Google Avis ,"Salut à vous. J’ai jamais commandé, mais j’ai vu la vidéo de mcfly et Carlito. Je viulais vous féliciter pour votre initiative, moi même étudiante en pleine galère pour payer des course je trouve ça super! J’espère que vous aller réussir à vous développer et même a venir dans les villes moyennes ( moi même étudiant a Roanne, ville moyenne dans la Loire) Je vous donne tout le courage du monde et si jamais vous ouvrez des dons je serais la première à essayer de mettre des sous pour vous soutenir ! Bon courage et merci pour nous.",
Google Avis ,"Je n’ai même pas les
mots pour remercier cette aide qui est plus que parfaite ! Merci à toute l’équipe",
Google Avis ,Parfait! Merci au chauffeur très sympa. Je recommenderai delivr'aide mes amis en galère,
Google Avis ,"Superbe initiative, on a besoin de personnes comme vous ! C'est vraiment une super image que vous véhiculez avec un beau message",
Google Avis ,Merci a équipe et au livreur pour se magnifique panier kit solidaire qui m'aidera pour les jours et semaine a venir,
Google Avis ,"Après avoir vu la vidéo de Mcfly & Carlito, c’est très très émouvant et vraiment magnifique ! Soyez fort et ne changez rien ! Vous êtes incroyables",
Google Avis ,Vraiment super !!! Merci beaucoup à Daphné de m’avoir livré mon kit,
Google Avis ,Communication très simple et super sympa ! Merci beaucoup pour le panier,
